district,size_sqm,rooms,year_built,floor,balcony,rooftop_terrace,elevator,energy_class,distance_to_U_Sbahn_m,monthly_rent_eur
Wedding,,1,,1,1,0,0,7,30,425
Prenzlauer Berg,93.5,2,2001,3,0,,1,8,190,1469
Lichtenberg,40.2,1,2001,5,0,0,1,2,148,583
Wedding,58.0,1,1955,0,0,0,0,5,86,660
Friedrichshain,51.4,1,2018,5,1,0,1,7,,1024
Lichtenberg,69.4,2,2018,1,1,0,1,1,261,1105
Wedding,50.3,2,1894,4,0,0,0,5,158,652
Wedding,58.3,2,1955,2,1,,0,6,167,694
Friedrichshain,59.1,1,2001,0,0,0,1,5,166,1144
Prenzlauer Berg,48.5,1,1894,4,1,0,0,6,100,733
Charlottenburg,78.9,2,1955,1,1,0,0,,656,1479
Lichtenberg,71.5,1,1894,5,1,0,0,7,288,767
Westend,62.7,1,2018,5,1,0,1,4,308,1057
Wedding,54.7,1,1955,1,0,0,0,7,245,569
Prenzlauer Berg,89.4,2,2001,4,1,0,1,,367,1620
Mitte,59.1,1,1955,2,1,0,0,2,653,1076
Schöneberg,57.5,2,1894,3,1,0,0,8,858,856
Tiergarten,67.8,2,2018,3,0,0,1,7,1002,1484
Wedding,128.1,4,1894,1,1,0,1,5,346,1760
Westend,38.0,1,1894,3,0,0,0,4,160,561
Wedding,88.4,2,1955,1,0,0,1,6,325,1054
Charlottenburg,30.5,1,2001,6,1,0,0,8,523,479
Lichtenberg,70.9,2,1955,5,0,0,0,4,525,720
Lichtenberg,122.0,3,1894,0,0,0,0,8,581,1381
Wedding,79.0,2,1894,4,1,0,0,5,655,1064
Mitte,69.6,2,1894,5,1,0,1,6,273,1297
Prenzlauer Berg,51.9,1,1894,0,1,0,1,5,908,853
Tiergarten,65.8,2,1955,4,1,0,0,3,496,1183
Friedrichshain,58.8,1,1894,5,,0,0,8,41,786
Wedding,47.5,1,1894,1,0,0,1,4,393,614
Wedding,57.9,1,2001,,1,0,1,8,394,745
Lichtenberg,70.4,1,2001,5,1,0,1,3,101,1144
Charlottenburg,47.8,1,1894,2,1,0,0,4,389,872
Charlottenburg,47.1,2,,1,0,0,0,8,448,557
Prenzlauer Berg,,1,1894,2,1,0,1,6,180,576
Friedrichshain,76.0,2,2018,2,1,0,1,4,310,1868
Friedrichshain,80.8,2,1894,4,1,0,0,6,253,1278
Prenzlauer Berg,71.3,2,1894,2,1,0,0,4,728,1428
Mitte,95.6,2,1955,2,1,0,0,7,305,1620
Westend,67.3,2,1894,5,0,0,0,2,878,1235
Prenzlauer Berg,76.0,2,1894,3,1,0,1,5,497,1320
Wedding,73.4,2,1894,,0,1,0,2,301,1122
Wedding,62.7,1,2001,4,1,0,1,6,475,881
Charlottenburg,52.6,1,2001,6,0,0,1,8,242,855
Wedding,150.0,3,,1,1,0,0,7,149,1825
Wedding,54.3,1,2001,6,1,1,1,5,338,770
Prenzlauer Berg,49.8,2,1955,5,1,0,1,4,515,776
Charlottenburg,77.3,2,2018,0,1,0,1,3,306,1604
Wedding,71.9,2,2001,2,1,0,1,7,49,1024
Friedrichshain,37.1,1,2001,2,1,0,1,3,1098,756
Mitte,101.8,2,2001,2,1,0,1,6,,1911
Tiergarten,62.6,1,1955,4,0,0,1,5,247,1241
Wedding,41.7,1,1894,4,1,0,0,8,281,525
Westend,104.6,2,1955,1,0,1,0,5,397,1415
Wedding,83.5,2,1894,,1,0,1,5,315,1172
Wedding,39.2,1,1955,5,1,0,0,8,843,378
Prenzlauer Berg,132.3,3,1894,2,1,0,0,8,401,2025
Schöneberg,84.6,2,1894,5,1,,1,6,357,1430
Friedrichshain,64.7,,2018,4,1,0,1,7,72,1105
Friedrichshain,122.8,3,2001,6,0,0,1,6,69,2499
Westend,69.3,2,1955,5,0,0,0,5,649,821
Prenzlauer Berg,64.3,2,1955,0,1,0,0,2,579,1135
Schöneberg,49.9,2,1955,4,1,0,0,6,,682
Wedding,82.0,2,2018,1,1,0,1,6,110,1226
Westend,,2,2001,5,1,1,1,3,797,1381
Schöneberg,65.4,2,2001,5,1,0,1,4,118,1085
Schöneberg,47.4,,1955,1,1,0,1,6,86,685
Charlottenburg,68.5,1,,0,1,0,0,3,122,1127
Tiergarten,63.2,1,2001,2,1,0,0,6,385,1201
Prenzlauer Berg,38.1,1,2018,2,0,0,1,6,1123,635
Mitte,36.1,1,1955,3,1,0,0,5,177,540
Prenzlauer Berg,81.5,2,1955,0,1,0,0,4,643,1222
Lichtenberg,23.0,1,1955,0,0,0,1,5,312,268
Mitte,70.6,2,1955,2,0,0,0,5,37,1061
Tiergarten,53.7,1,2018,5,1,0,1,6,181,1343
Charlottenburg,109.7,2,2001,2,1,0,1,6,584,1906
Charlottenburg,,1,1955,,0,0,0,7,562,703
Westend,84.6,2,1955,0,1,0,,1,160,1318
Schöneberg,,2,1955,1,1,0,0,6,479,832
Wedding,68.0,1,,1,1,1,0,5,,882
Westend,87.3,2,1955,1,1,0,0,7,374,1147
Prenzlauer Berg,54.0,2,2001,2,0,0,1,2,668,1129
Wedding,96.8,2,2001,1,0,1,1,5,165,1434
Friedrichshain,43.7,1,1894,4,0,0,0,5,209,833
Tiergarten,73.1,2,2001,2,0,0,1,5,677,1543
Friedrichshain,,2,,5,1,,1,8,1046,1620
Wedding,84.6,2,1894,3,0,0,1,3,535,1176
Prenzlauer Berg,139.9,3,2001,4,0,0,1,3,357,2807
Friedrichshain,47.9,1,2001,4,1,0,1,6,531,850
Schöneberg,37.4,1,2001,6,1,0,0,5,180,620
Friedrichshain,43.7,1,1894,1,1,0,1,4,298,891
Wedding,84.7,2,1894,5,1,0,1,4,68,1302
Prenzlauer Berg,79.3,2,1955,1,1,0,0,3,184,1216
Prenzlauer Berg,67.7,2,1894,0,1,0,0,7,391,1071
Charlottenburg,,1,1955,4,1,1,0,6,332,609
Westend,88.3,2,2001,6,1,0,1,4,24,1221
Charlottenburg,39.8,1,1894,0,1,0,1,5,236,660
Friedrichshain,103.3,3,1955,3,1,0,0,7,327,1627
Friedrichshain,150.0,4,2018,3,1,0,1,7,336,2917
Lichtenberg,75.3,2,1955,1,0,0,0,2,84,913
Lichtenberg,82.1,2,1955,3,1,0,0,6,485,897
Wedding,53.4,,1955,4,1,0,0,3,950,702
Mitte,31.5,1,1894,3,1,0,1,4,527,639
Lichtenberg,51.1,1,1894,3,0,0,0,7,299,505
Wedding,42.0,1,2001,6,1,0,1,7,810,545
Wedding,36.4,1,1955,1,1,0,0,3,181,482
Prenzlauer Berg,129.5,4,1894,3,1,0,1,7,441,1811
Charlottenburg,72.5,2,1894,1,0,0,0,6,275,1034
Friedrichshain,75.7,2,2001,6,0,0,1,7,816,1263
Lichtenberg,57.4,1,1894,1,1,0,1,7,126,678
Prenzlauer Berg,60.7,2,2001,,1,0,1,5,126,1078
Mitte,95.6,2,1955,3,1,0,0,8,687,1297
Charlottenburg,64.2,2,1955,1,1,0,1,4,419,1012
Schöneberg,80.4,2,,4,0,0,,5,726,1196
Friedrichshain,60.1,1,1894,1,0,0,0,5,138,1077
Lichtenberg,56.7,1,1955,1,0,0,0,7,162,616
Wedding,37.0,1,2001,2,0,0,1,3,367,480
Wedding,,1,1894,,1,0,0,5,71,412
Prenzlauer Berg,58.5,2,1955,2,0,0,1,7,349,774
Westend,66.5,1,1955,3,1,0,0,5,206,889
Schöneberg,38.9,1,1894,3,1,0,0,4,273,700
Westend,64.1,1,1955,1,0,0,0,4,483,793
Friedrichshain,66.4,2,1894,1,1,0,0,6,501,1230
Prenzlauer Berg,27.4,1,1955,1,0,0,1,4,918,386
Tiergarten,45.1,1,1894,1,0,0,1,5,617,935
Prenzlauer Berg,76.5,2,1955,5,0,0,,5,39,1080
Charlottenburg,75.9,2,1894,2,0,0,,8,136,1106
Friedrichshain,41.0,1,1955,2,1,0,0,7,147,568
Friedrichshain,69.3,2,1955,4,1,1,0,4,574,1303
Schöneberg,97.8,3,2018,5,0,,1,7,832,1785
Friedrichshain,88.7,2,1955,4,1,1,1,7,96,1356
Lichtenberg,62.6,1,2001,3,0,0,1,6,584,795
Schöneberg,53.9,1,1894,5,1,0,1,5,299,927
Charlottenburg,50.5,1,1955,5,1,0,0,2,267,865
Schöneberg,78.4,2,1894,1,1,0,0,6,178,1303
Tiergarten,70.3,,1955,0,0,0,0,5,238,1233
Lichtenberg,83.6,2,2001,2,0,0,1,4,350,1141
Prenzlauer Berg,68.5,1,2001,5,0,0,1,1,197,1300
Wedding,90.2,2,1955,5,1,0,0,4,404,1144
Friedrichshain,67.5,2,2001,4,1,0,1,6,268,1259
Prenzlauer Berg,89.0,2,1894,4,1,0,1,3,245,1715
Prenzlauer Berg,92.1,2,1894,1,1,0,0,6,460,1389
Lichtenberg,,1,2001,4,1,0,1,7,375,556
Schöneberg,31.5,1,1894,1,1,0,0,5,26,515
Prenzlauer Berg,120.5,3,1894,3,1,0,0,3,416,2398
Mitte,72.0,2,2018,,1,0,1,3,360,1754
Charlottenburg,32.7,1,2018,0,1,0,1,5,644,748
Schöneberg,48.9,1,2001,6,0,0,1,7,371,758
Prenzlauer Berg,88.5,3,1955,5,1,0,0,6,228,1302
Tiergarten,58.1,1,2001,,1,0,1,7,173,1239
Wedding,53.0,2,1894,3,0,0,0,8,58,650
Lichtenberg,113.8,2,1955,1,0,0,1,4,296,1464
Friedrichshain,,1,1955,3,0,0,1,6,148,612
Schöneberg,47.2,2,2018,5,1,1,1,5,711,993
Friedrichshain,70.7,2,2018,3,1,0,1,5,306,1540
Westend,76.0,2,2001,1,0,0,1,5,113,1115
Charlottenburg,79.3,2,1894,2,1,0,1,5,42,1224
Westend,93.6,,1955,5,1,0,,6,62,1058
Wedding,70.4,2,1894,1,0,0,1,6,392,864
Wedding,79.1,2,2018,6,1,0,1,5,767,1122
Friedrichshain,58.6,1,1894,4,0,0,0,3,452,1100
Lichtenberg,66.7,2,1894,5,0,0,1,6,273,837
Mitte,67.9,2,2001,3,1,1,1,6,1060,1302
Tiergarten,70.8,2,1955,1,0,0,1,5,523,1318
Schöneberg,88.5,,,0,1,0,1,,373,1648
Charlottenburg,81.2,2,1894,3,0,0,1,4,223,1465
Wedding,66.2,2,2001,2,0,,1,7,794,929
Wedding,47.0,1,1894,0,0,0,1,6,240,536
Charlottenburg,66.8,2,1894,5,1,0,1,1,148,1306
Lichtenberg,64.3,2,1955,5,0,0,,5,282,648
Charlottenburg,70.2,2,1894,,0,0,1,5,327,1228
Schöneberg,150.0,4,1955,4,1,0,0,6,556,2063
Mitte,52.7,1,1894,2,1,1,0,3,145,1108
Lichtenberg,77.0,2,1894,2,1,0,0,6,170,922
Friedrichshain,99.7,2,2001,4,0,0,1,8,178,1656
Tiergarten,67.6,2,1894,2,1,0,0,5,270,1440
Prenzlauer Berg,150.0,4,2001,5,1,0,1,5,116,2572
Lichtenberg,55.9,2,2001,1,0,0,1,1,706,834
Lichtenberg,74.0,2,1894,,0,0,0,2,63,1030
Wedding,47.2,1,2001,6,0,0,1,8,809,556
Lichtenberg,56.5,1,1894,,,0,0,8,517,713
Lichtenberg,71.8,2,1955,0,1,0,,1,137,944
Schöneberg,91.2,2,1894,0,1,0,1,7,253,1372
Charlottenburg,73.8,2,2001,4,1,0,1,4,157,1461
Wedding,107.6,3,1955,5,0,0,0,6,524,1312
Westend,62.6,2,1955,5,1,0,1,6,753,745
Charlottenburg,56.9,2,2018,6,1,0,1,5,1500,1256
Friedrichshain,150.0,4,1955,,1,0,0,5,432,2429
Wedding,76.1,2,2018,3,1,0,1,6,65,1361
Mitte,48.7,2,2001,5,0,0,1,4,127,986
Lichtenberg,49.2,1,2018,4,0,0,1,8,416,560
Mitte,44.6,1,2018,5,1,0,1,4,262,983
Friedrichshain,94.5,3,2018,1,1,0,1,1,512,2618
Wedding,56.2,1,1894,2,1,0,1,8,378,668
Friedrichshain,68.4,1,2001,3,1,0,1,5,139,1330
Friedrichshain,63.4,1,2001,6,0,0,1,5,230,1258
Schöneberg,87.1,3,,1,0,0,1,4,530,1463
Lichtenberg,46.3,1,1894,1,1,0,0,1,394,684
Mitte,42.3,1,2018,0,0,0,1,,516,856
Charlottenburg,71.1,2,1894,0,1,0,1,5,89,1402
Wedding,82.7,2,1955,5,1,0,0,5,148,913
Lichtenberg,74.2,2,1955,5,1,0,1,5,671,876
Schöneberg,47.0,2,1894,1,1,0,1,7,93,717
Friedrichshain,85.2,2,,4,1,0,1,8,495,1438
Tiergarten,48.3,1,1894,3,0,0,0,5,82,888
Mitte,,1,2001,6,0,0,1,8,323,799
Friedrichshain,44.6,1,2001,2,1,1,1,7,203,883
Westend,109.4,3,1955,5,1,0,1,8,137,1182
Friedrichshain,83.7,2,2001,2,1,0,1,6,343,1350
Schöneberg,82.8,2,1894,4,1,0,0,4,648,1409
Wedding,107.0,3,2001,2,1,0,1,4,166,1509
Schöneberg,150.0,3,2018,,1,0,1,7,32,2659
Mitte,32.8,1,1894,2,1,0,0,5,268,588
Wedding,48.4,1,2001,5,0,0,1,7,136,598
Wedding,50.8,1,1955,3,0,0,0,6,538,564
Wedding,46.2,1,1955,,1,1,,4,203,584
Friedrichshain,42.2,1,2001,6,0,0,1,5,172,752
Friedrichshain,57.7,1,1955,4,1,0,1,8,222,820
Lichtenberg,40.0,1,2001,3,,0,1,1,648,576
Prenzlauer Berg,74.3,2,1894,0,1,0,0,6,409,1231
Charlottenburg,66.4,2,1955,5,1,0,1,8,118,884
Prenzlauer Berg,78.8,2,2018,5,0,0,0,3,89,1431
Westend,79.6,2,1894,4,1,0,0,4,802,1147
Lichtenberg,82.7,1,1955,4,1,0,1,5,,972
Charlottenburg,56.0,1,1894,3,1,0,1,7,662,863
Lichtenberg,150.0,4,2001,1,1,1,1,5,259,2241
Tiergarten,71.4,2,1955,1,1,,0,2,150,1583
Schöneberg,30.9,1,1955,0,1,0,1,,160,581
Westend,43.5,2,1894,0,,0,0,5,269,675
Friedrichshain,32.4,1,,4,1,0,0,5,30,473
Friedrichshain,65.5,2,2018,5,1,0,1,4,154,1427
Prenzlauer Berg,61.9,2,1955,0,1,,0,7,1002,821
Lichtenberg,53.9,1,1955,3,0,0,1,,1204,750
Schöneberg,145.3,3,2001,0,0,1,1,7,169,2185
Lichtenberg,81.0,3,1955,2,1,0,0,8,476,767
Wedding,86.9,2,1955,4,1,0,1,6,400,936
Prenzlauer Berg,44.8,1,1955,4,1,0,0,6,102,609
Wedding,43.6,1,1894,,1,0,0,3,482,611
Tiergarten,66.0,1,2001,2,1,0,1,6,,1378
Friedrichshain,69.7,2,2018,6,1,0,1,5,313,1372
Wedding,30.9,,2018,5,0,0,1,4,552,526
Wedding,60.5,2,2018,2,1,0,1,6,230,939
Mitte,65.4,1,1955,1,1,0,0,1,228,1145
Schöneberg,59.6,1,1894,0,1,0,0,4,445,989
Westend,46.9,1,2001,6,1,0,1,6,675,618
Lichtenberg,52.4,1,2018,1,0,1,1,5,427,887
Westend,60.6,1,2001,1,0,0,1,3,237,1102
Prenzlauer Berg,67.4,2,1955,2,1,0,1,1,626,1205
Charlottenburg,82.8,3,2001,0,0,1,1,4,388,1543
Prenzlauer Berg,100.2,3,2001,5,1,0,1,5,776,1698
Westend,57.8,,2018,4,1,1,1,5,919,1007
Lichtenberg,54.2,1,2001,,0,0,1,3,422,773
Prenzlauer Berg,77.4,2,1955,0,0,0,1,6,739,1194
Mitte,83.0,2,1894,0,1,0,0,8,754,1391
Mitte,54.6,1,1955,5,0,0,,6,281,901
Wedding,89.2,2,1955,2,1,,1,5,754,1110
Wedding,96.2,2,2018,4,1,0,1,6,324,1332
Friedrichshain,109.0,3,1955,0,1,0,1,7,516,1573
Tiergarten,132.4,3,1955,1,1,,0,8,300,2145
Schöneberg,46.0,1,1955,3,1,0,0,2,74,686
Friedrichshain,65.4,2,2001,1,1,0,1,4,1099,1363
Wedding,65.3,2,1955,3,1,0,0,3,501,907
Charlottenburg,62.5,2,1894,5,0,0,0,7,533,969
Friedrichshain,50.1,2,2018,,1,0,1,2,349,1260
Lichtenberg,35.9,1,1955,3,0,0,0,7,750,314
Friedrichshain,67.5,2,1955,5,0,0,0,1,276,1394
Charlottenburg,47.8,1,1894,5,0,0,1,6,291,689
Friedrichshain,67.3,3,1955,0,0,0,1,4,119,1127
Friedrichshain,47.3,1,2001,0,0,0,1,5,376,932
Tiergarten,41.9,1,2018,6,1,0,1,5,724,1051
Tiergarten,71.4,2,1894,5,0,0,0,6,279,1249
Friedrichshain,69.0,2,2018,2,0,0,1,5,104,1320
Tiergarten,81.9,3,2001,3,1,1,0,5,622,1950
Schöneberg,150.0,4,1894,3,1,1,1,6,448,2575
Wedding,72.6,2,1894,4,0,0,,8,1014,743
Prenzlauer Berg,78.9,2,1894,4,1,0,1,7,161,1248
Charlottenburg,42.2,1,2018,2,1,0,1,6,503,728
Schöneberg,38.8,1,1894,5,1,0,0,5,100,642
Lichtenberg,122.4,3,1955,0,1,0,,,306,1222
Lichtenberg,44.9,1,2001,0,1,0,1,5,353,615
Tiergarten,42.8,1,2018,6,1,0,1,8,66,900
Friedrichshain,64.0,2,2001,1,0,0,1,7,688,1188
Mitte,62.7,2,2001,6,1,0,1,3,562,1357
Mitte,45.3,1,1894,1,1,0,0,2,448,899
Schöneberg,57.5,2,2018,2,0,0,1,6,106,1012
Prenzlauer Berg,106.3,3,1894,0,0,0,1,6,175,1924
Tiergarten,47.1,1,1894,5,1,0,0,6,609,984
Charlottenburg,37.2,1,2018,2,1,0,0,8,304,627
Schöneberg,94.8,2,1894,1,1,0,0,5,258,1416
Friedrichshain,79.1,2,,2,0,0,1,5,738,1361
Wedding,50.7,1,2001,1,1,0,1,6,,729
Tiergarten,34.5,1,1894,4,1,0,0,1,116,798
Lichtenberg,48.3,1,1894,0,0,0,1,6,604,577
Friedrichshain,63.6,1,2001,3,0,0,0,7,102,1173
Wedding,103.6,3,2001,2,1,0,1,1,306,1772
Lichtenberg,42.9,1,,0,0,0,1,7,381,474
Lichtenberg,62.8,,1894,0,0,,0,7,,810
Wedding,85.2,2,1955,3,0,0,1,3,,1252
Wedding,25.1,1,2001,2,0,0,1,7,24,327
Westend,98.3,2,1894,0,,0,0,7,25,1345
Wedding,40.5,1,1894,0,1,0,,5,803,543
Friedrichshain,74.2,,1894,4,1,0,0,4,66,1484
Schöneberg,71.7,2,1955,4,0,0,0,4,946,1004
Schöneberg,100.3,3,1894,3,1,0,0,6,650,1378
Lichtenberg,81.0,2,2001,5,1,0,1,4,136,1381
Prenzlauer Berg,25.1,1,2018,0,1,0,1,5,37,442
Prenzlauer Berg,47.5,2,1894,4,0,0,0,8,324,663
Westend,68.7,2,2001,5,1,0,1,6,199,1030
Mitte,60.1,2,1894,1,1,0,0,6,747,1081
Friedrichshain,78.7,2,1894,3,1,0,0,8,378,1226
Prenzlauer Berg,89.1,2,,5,1,0,1,1,309,1856
Prenzlauer Berg,82.9,2,1955,3,0,0,0,4,259,1259
Mitte,59.7,2,2018,1,0,0,1,6,515,1217
Charlottenburg,31.1,1,1955,3,1,0,1,5,287,489
Charlottenburg,54.2,1,,4,1,0,0,3,1074,1006
Charlottenburg,76.8,2,1955,0,0,0,0,7,63,940
Charlottenburg,42.0,1,1894,3,1,0,1,2,237,959
Wedding,83.7,2,2018,3,0,,1,5,463,1320
Charlottenburg,93.5,3,,2,1,0,1,6,,1662
Lichtenberg,68.4,2,1955,0,1,0,1,6,1072,729
Lichtenberg,20.0,1,1955,0,1,0,0,5,163,213
Prenzlauer Berg,39.0,1,2001,5,1,0,1,1,10,867
Charlottenburg,138.2,3,2001,5,1,0,1,7,615,2282
Schöneberg,52.2,1,1894,2,0,0,0,8,364,715
Wedding,29.4,1,1894,5,1,0,0,5,619,357
Westend,106.5,3,1894,5,1,0,0,1,405,2012
Wedding,65.3,1,1955,3,0,0,,6,19,788
Schöneberg,101.1,3,1955,3,0,0,0,5,424,1384
Westend,,2,1894,5,1,0,0,4,162,1124
Charlottenburg,78.1,2,1955,3,1,1,0,4,237,1410
Wedding,75.2,2,,5,,0,0,4,279,861
Mitte,85.9,2,1894,5,1,0,0,5,102,1756
Wedding,150.0,4,2018,1,0,0,1,4,157,2466
Lichtenberg,95.9,2,1955,3,1,0,0,7,541,945
Friedrichshain,34.5,1,1955,4,1,0,1,5,540,535
Westend,77.7,2,1955,4,0,0,0,5,55,1036
Friedrichshain,102.6,2,1894,2,1,0,0,3,368,2067
Wedding,105.2,2,2018,6,1,0,1,7,,1556
Friedrichshain,54.8,2,1955,2,1,0,1,2,339,1043
Lichtenberg,103.6,,1955,2,0,0,0,4,384,1114
Friedrichshain,94.2,2,2018,1,0,0,1,6,60,1923
Lichtenberg,150.0,4,2001,2,1,1,1,6,727,2059
Wedding,48.2,1,2001,6,0,0,1,7,111,605
Schöneberg,53.1,2,1894,4,1,1,1,5,227,1085
Wedding,57.5,1,1894,4,1,0,0,5,587,816
Wedding,53.4,1,2001,6,1,0,1,4,907,854
Lichtenberg,45.5,1,,1,1,0,0,6,243,599
Mitte,21.5,1,2001,4,1,0,1,5,1254,431
Schöneberg,54.6,1,2001,2,0,0,1,5,349,905
Friedrichshain,75.3,2,1894,5,1,0,0,1,319,1545
Westend,53.4,,1894,2,0,0,0,8,127,613
Friedrichshain,141.0,4,1955,5,0,0,1,2,231,2252
Schöneberg,65.3,2,1894,4,1,0,1,4,373,1168
Schöneberg,108.9,3,2001,5,1,1,1,8,,1581
Prenzlauer Berg,72.2,1,2001,6,1,0,1,6,452,1304
Schöneberg,90.5,,1955,4,1,1,1,6,211,1345
Wedding,72.7,2,,2,1,0,1,6,798,1005
Wedding,112.4,3,1955,3,,1,0,3,327,1518
Prenzlauer Berg,66.5,2,2001,3,0,0,1,7,311,1140
Schöneberg,79.3,2,1894,0,1,0,0,4,,1430
Lichtenberg,75.3,2,2001,4,1,0,1,8,503,885
Friedrichshain,57.9,2,2001,3,1,0,1,4,297,1109
Friedrichshain,76.4,2,1894,2,0,0,0,6,246,1362
Friedrichshain,150.0,3,1955,0,1,0,1,5,85,2345
Westend,,2,2018,3,1,,1,3,89,960
Prenzlauer Berg,76.9,2,1894,3,1,0,1,5,403,1346
Wedding,107.5,3,2001,0,1,0,1,7,879,1529
Westend,102.6,2,2018,4,1,0,1,4,262,1756
Charlottenburg,65.3,2,2018,1,0,0,1,8,260,1122
Lichtenberg,25.1,,1955,0,1,0,0,4,508,291
Wedding,79.9,2,2001,2,1,1,1,6,709,1233
Charlottenburg,26.8,1,2018,2,1,0,1,6,195,555
Charlottenburg,117.0,3,1955,5,1,1,0,5,121,1887
Charlottenburg,69.6,2,1894,0,0,1,,6,291,1093
Friedrichshain,97.0,2,1894,2,1,0,1,6,447,1556
Friedrichshain,45.3,2,2001,5,0,0,1,6,25,870
Lichtenberg,34.9,1,1955,1,1,0,1,5,219,376
Prenzlauer Berg,72.1,2,1894,5,0,0,1,6,268,1153
Prenzlauer Berg,64.1,2,1955,4,0,0,1,5,240,995
Wedding,53.4,2,2001,6,1,0,1,2,77,840
Schöneberg,67.2,1,1955,5,0,0,0,3,219,1001
Lichtenberg,150.0,,2018,0,1,0,1,6,271,2290
Wedding,90.8,2,2001,3,0,0,1,8,140,1024
Prenzlauer Berg,98.9,2,2018,5,1,0,1,1,375,2129
Charlottenburg,91.1,2,2018,0,1,0,1,5,562,1800
Lichtenberg,117.5,2,1894,2,1,0,0,4,577,1703
Wedding,60.2,2,2001,4,0,0,1,6,172,891
Lichtenberg,28.6,1,1894,4,0,0,0,6,441,331
Friedrichshain,60.3,,2018,2,1,0,1,6,414,1172
Lichtenberg,89.9,2,1894,5,0,1,1,6,1013,1241
Westend,44.1,1,2001,4,,1,1,7,443,570
Friedrichshain,60.6,1,2001,0,1,0,1,2,462,1366
Schöneberg,49.3,1,1894,1,1,0,1,5,644,796
Wedding,118.5,3,2001,6,1,0,,4,97,1945
Tiergarten,87.7,2,1894,0,1,1,0,8,321,1872
Prenzlauer Berg,84.4,2,1955,0,1,0,1,7,917,1094
Wedding,83.3,2,1955,2,0,0,0,3,930,1072
Charlottenburg,64.0,2,1955,5,1,,1,4,219,1010
Prenzlauer Berg,70.3,1,1955,4,0,0,0,5,900,989
Prenzlauer Berg,40.5,1,2018,1,1,0,1,8,247,711
Charlottenburg,27.1,1,1955,2,1,0,0,3,385,444
Lichtenberg,69.0,2,1955,5,1,0,0,6,64,761
Wedding,74.0,2,2018,1,1,0,1,5,773,1244
Friedrichshain,105.4,3,2001,4,1,0,1,6,237,2186
